No of Ghosts,Agent 1,Agent 2,Agent 4
1,93,98,98
6,64,87,91
11,54,82,91
16,33,69,75
21,21,60,67
26,17,55,57
31,17,47,56
36,9,45,59
41,12,33,45
46,3,32,50
51,5,28,38
56,3,22,49
61,1,22,36
66,1,18,25
71,1,23,34
76,0,18,24
81,0,20,28
86,1,11,31
91,0,9,21
96,2,10,14
101,0,11,12
106,0,6,16
111,0,7,15
116,0,5,16
121,0,5,15
126,0,2,12
131,0,2,4
136,0,3,10
141,0,4,6
146,0,3,11
151,0,0,7
156,0,0,2
161,0,1,4
166,0,0,4
171,0,0,3
176,0,0,1
181,0,2,4
186,0,1,3
191,0,0,4
196,0,0,4
201,0,0,3
206,0,0,0
211,0,0,0
216,0,0,1
221,0,0,5
226,0,0,0
231,0,0,1
236,0,0,1
241,0,0,0
246,0,0,0
251,0,0,1
256,0,0,0
261,0,0,1
266,0,0,0
271,0,0,0
276,0,0,0
281,0,0,2
286,0,0,0
291,0,0,0
296,0,0,0
