No of Ghosts,Agent 1,Agent 2,Agent 3,Agent 4
1,9,10,2,10
6,7,7,5,10
11,7,7,2,9
16,2,4,0,7
21,1,3,0,6
26,5,5,0,8
31,1,5,0,5
36,1,6,0,6
41,0,4,,6
46,3,6,,4
51,0,6,,2
56,0,2,,6
61,0,0,,5
66,0,2,,7
71,0,3,,3
76,0,1,,0
81,0,0,,2
86,1,0,,2
91,0,2,,1
96,0,0,,1
101,0,0,,2
106,0,2,,1
111,0,0,,1
116,0,1,,2
121,0,0,,2
126,0,0,,1
131,0,1,,1
136,0,0,,0
141,0,0,,2
146,0,0,,1
151,0,1,,0
156,0,0,,1
161,0,0,,0
166,0,1,,0
171,0,0,,0
176,0,0,,0
181,0,0,,0
186,0,0,,0
191,0,0,,0
196,0,0,,0
201,0,0,,0
206,0,0,,0
211,0,0,,0
216,0,0,,0
221,0,0,,0
226,0,0,,0
231,0,0,,0
236,0,0,,0
241,0,0,,0
246,0,0,,0
251,0,0,,0
256,0,0,,0
261,0,0,,0
266,0,0,,0
271,0,0,,0
276,0,0,,0
281,0,0,,0
286,0,0,,0
291,0,0,,0
296,0,0,,0
