No of Ghosts,Agent 1,Agent 2,Agent 4,Agent 5
1,93,98,98,97
6,64,87,89,89
11,54,82,85,71
16,33,69,82,77
21,21,60,66,68
26,17,55,65,65
31,17,47,54,47
36,9,45,48,55
41,12,33,42,49
46,3,32,40,40
51,5,28,38,38
56,3,22,43,28
61,1,22,21,34
66,1,18,22,25
71,1,23,27,29
76,0,18,22,21
81,0,20,23,22
86,1,11,17,14
91,0,9,17,12
96,2,10,18,7
101,0,11,5,14
106,0,6,12,10
111,0,7,11,10
116,0,5,10,13
121,0,5,7,12
126,0,2,5,6
131,0,2,5,5
136,0,3,7,2
141,0,4,4,7
146,0,3,6,1
151,0,0,5,4
156,0,0,6,3
161,0,1,3,3
166,0,0,4,1
171,0,0,1,0
176,0,0,1,2
181,0,2,3,2
186,0,1,1,2
191,0,0,2,1
196,0,0,2,0
201,0,0,1,1
206,0,0,0,0
211,0,0,1,1
216,0,0,1,0
221,0,0,0,2
226,0,0,0,0
231,0,0,2,1
236,0,0,0,0
241,0,0,0,0
246,0,0,1,1
251,0,0,1,0
256,0,0,0,1
261,0,0,0,1
266,0,0,0,0
271,0,0,0,1
276,0,0,0,0
281,0,0,0,0
286,0,0,0,0
291,0,0,0,0
296,0,0,0,0
